Address 1,Address 2,Address 1 & 2,latitude,longitude,Level,Canonical Address 1,Canonical Address 2,Canonical Address 1 & 2
Dhulabari,Amdagi,"Amdagi, Dhulabari",26.67233278,88.06983583,VDC,Jhapa,Dhaijan,"Dhaijan, Jhapa"
Bara,Amelek,"Amelek, Bara",27.29419816,85.00872713,VDC,Bara,Amlekhganj,"Amlekhganj, Bara"
Morang,Amgachhi,"Amgachhi, Morang",26.44130806,87.52054627,VDC,Morang,Amgachhi,"Amgachhi, Morang"
Banke,Amilya,"Amilya, Banke",28.08927701,81.82533358,District,Banke,,Banke
Kaski,Aminatar  ,"Aminatar, Kaski",28.35007401,84.00601109,District,Kaski,,Kaski
Kaski,Amintar,"Amintar, Kaski",28.35007401,84.00601109,District,Kaski,,Kaski
Bara,Amlekhganj,"Amlekhganj, Bara",27.29419816,85.00872713,VDC,Bara,Amlekhganj,"Amlekhganj, Bara"
Jordan,Amman,"Amman, Jordan",31.93333333,35.93333333,City,Jordan,Amman,"Amman, Jordan"
Gulmi,Amrahi,"Amrahi, Gulmi",28.0912843,83.29421436,District,Gulmi,,Gulmi
Navalparasi,Amrapuri,"Amrapuri, Navalparasi",27.68932625,84.26463862,VDC,Nawalparasi,Amarapuri,"Amarapuri, Nawalparasi"
Nawalparasi,Amraut,"Amraut, Nawalparasi",27.56045447,83.63084297,VDC,Nawalparasi,Amraut,"Amraut, Nawalparasi"
Bara,Amritgang,"Amritgang, Bara",26.8831009,85.11448401,VDC,Bara,Amritgang,"Amritgang, Bara"
Navalparasi,Amrot,"Amrot, Navalparasi",27.56045447,83.63084297,VDC,Nawalparasi,Amraut,"Amraut, Nawalparasi"
Rupandehi,Amuwa,"Amuwa, Rupandehi",27.59593459,83.39758132,VDC,Rupandehi,Amuwa,"Amuwa, Rupandehi"
Kavrepalanchok,Anaikot,"Anaikot, Kavrepalanchok",27.67584256,85.59418033,VDC,Kavrepalanchok,Anaikot,"Anaikot, Kavrepalanchok"
Mahottari,Anakar,"Anakar, Mahottari",26.66792107,85.78214423,VDC,Mahottari,Anakar,"Anakar, Mahottari"
Dang,Anampur,"Anampur, Dang",27.95672298,82.41919946,District,Dang,,Dang
Rupandehi,Anandaban,"Anandaban, Rupandehi",27.62457967,83.45903464,VDC,Rupandehi,Aanandaban,"Aanandaban, Rupandehi"
Jhapa,Anarmani,"Anarmani, Jhapa",26.62827777,88.00695336,VDC,Jhapa,Anarmani,"Anarmani, Jhapa"
Jhapa,Anarmuni,"Anarmuni, Jhapa",26.62827777,88.00695336,VDC,Jhapa,Anarmani,"Anarmani, Jhapa"
Tanahu,Anbukhaireni,"Anbukhaireni, Tanahu",27.88741845,84.49684394,VDC,Tanahu,Anbukhaireni,"Anbukhaireni, Tanahu"
Salyan,Andheri,"Andheri, Salyan",28.39239109,82.14120773,District,Salyan,,Salyan
Baglung,Andheri (Narayanstha,"Andheri (Narayanstha, Baglung",28.21487954,83.66731729,VDC,Baglung,Andheri (Narayanstha,"Andheri (Narayanstha, Baglung"
Okhaldhunga,Andheri (Narayanstha,"Andheri (Narayanstha, Okhaldhunga",27.28699029,86.53157652,VDC,Okhaldhunga,Andheri (Narayanstha,"Andheri (Narayanstha, Okhaldhunga"
Okhaldhunga,Andheri Narayansthan,"Andheri Narayansthan, Okhaldhunga",27.28699029,86.53157652,VDC,Okhaldhunga,Andheri (Narayanstha,"Andheri (Narayanstha, Okhaldhunga"
Dhanusa,Andupatti,"Andupatti, Dhanusa",26.76137486,85.97837234,VDC,Dhanusa,Andupatti,"Andupatti, Dhanusa"
Kavrepalanchok,Anekot,"Anekot, Kavrepalanchok",27.67584256,85.59418033,VDC,Kavrepalanchok,Anaikot,"Anaikot, Kavrepalanchok"
