Address 1,Address 2,Canonical Address 1 & 2,latitude,longitude,Level,Lat/Long
Kavrepalanchok,SimalchourSyampati,"SimalchourSyampati, Kavrepalanchok",27.55970882,85.58355493,VDC,27.5597088237188 - 85.5835549296373VDC
Sarlahi,Simara,"Simara, Sarlahi",26.81872715,85.48879627,VDC,26.8187271490937 - 85.4887962668446VDC
Rautahat,SimaraBhawanipur,"SimaraBhawanipur, Rautahat",27.03956144,85.31089853,VDC,27.0395614360218 - 85.3108985281065VDC
Mahottari,Simardahi,"Simardahi, Mahottari",26.64201001,85.83601686,VDC,26.6420100100888 - 85.8360168620483VDC
Sunsari,Simariya,"Simariya, Sunsari",26.57266531,87.23366054,VDC,26.572665309973 - 87.23366053562VDC
Doti,Simchaur,"Simchaur, Doti",29.00178033,81.02476227,VDC,29.001780329354 - 81.0247622653003VDC
Gulmi,Simichaur,"Simichaur, Gulmi",28.02300101,83.24801797,VDC,28.0230010137402 - 83.2480179733159VDC
Humla,Simikot,"Simikot, Humla",29.99311128,81.84037027,VDC,29.993111284236 - 81.8403702704264VDC
Gorkha,Simjung,"Simjung, Gorkha",28.16467298,84.68710691,VDC,28.1646729817188 - 84.6871069112041VDC
Terhathum,Simle,"Simle, Terhathum",27.14575328,87.61319228,VDC,27.1457532751777 - 87.6131922814154VDC
Rukum,Simli,"Simli, Rukum",28.65325486,82.34684756,VDC,28.6532548607609 - 82.34684755595VDC
Khotang,Simpani,"Simpani, Khotang",27.03639246,86.80236881,VDC,27.0363924577907 - 86.80236881205VDC
Lamjung,Simpani,"Simpani, Lamjung",28.2723561,84.34218538,VDC,28.2723561047482 - 84.3421853786386VDC
Saptari,SimrahaSigiyoun,"SimrahaSigiyoun, Saptari",26.51040421,86.69928381,VDC,26.510404208256 - 86.6992838142971VDC
Kavrepalanchok,Simthali,"Simthali, Kavrepalanchok",27.64937227,85.79388809,VDC,27.6493722666106 - 85.7938880926231VDC
Taplejung,Sinam,"Sinam, Taplejung",27.30942168,87.82570023,VDC,27.3094216802899 - 87.8257002333833VDC
Salyan,Sinbang,"Sinbang, Salyan",28.30267888,82.35958561,VDC,28.3026788768418 - 82.3595856057025VDC
Sindhupalchok,Sindhukot,"Sindhukot, Sindhupalchok",27.82490881,85.52669973,VDC,27.8249088058823 - 85.5266997319617VDC
